beta,repeat,generation,unique_ratio,similarity
100.0,0,254,0.32,0.26076637236552325
100.0,0,4,0.478,0.07734672395603907
100.0,0,296,0.352,0.35933653981127023
100.0,0,1,0.002,1.0
100.0,0,367,0.318,0.2682283537422126
100.0,0,204,0.374,0.19201895311648878
100.0,0,292,0.35,0.20693162263618084
100.0,0,200,0.37,0.23095352119099374
100.0,0,317,0.34,0.2536853820897572
100.0,0,26,0.804,0.13059366067853603
100.0,0,242,0.384,0.20296657412839045
100.0,0,359,0.36,0.2775466769800556
100.0,0,74,0.746,0.17167496555208386
100.0,0,284,0.368,0.21612016172340495
100.0,0,355,0.32,0.31588355732418844
100.0,0,280,0.462,0.18092883228694964
100.0,0,397,0.328,0.19743170160976425
100.0,0,305,0.286,0.3138677878576652
100.0,0,230,0.318,0.23021057979520917
100.0,0,301,0.38,0.19276435059036298
100.0,0,347,0.366,0.2536543076932547
100.0,0,418,0.302,0.2561627151713059
100.0,0,29,0.8,0.15641564703527636
100.0,0,272,0.338,0.21414673698317502
100.0,0,343,0.39,0.365704781121423
100.0,0,77,0.656,0.1823973315527879
100.0,0,385,0.328,0.2091088917532589
100.0,0,381,0.356,0.222900540469629
100.0,0,498,0.226,0.2025428485504899
100.0,0,72,0.748,0.18040183381999322
100.0,0,335,0.366,0.21829282677979175
100.0,0,406,0.306,0.22388207349453287
100.0,0,331,0.402,0.23072490066634127
100.0,0,448,0.232,0.2771437590555879
100.0,0,373,0.366,0.2173807005635552
100.0,0,444,0.292,0.27221655210427076
100.0,0,486,0.274,0.34539188027746914
100.0,0,436,0.268,0.21631523643697068
100.0,0,45,0.272,0.4311004067056375
100.0,0,361,0.336,0.3196820662213195
100.0,0,432,0.242,0.3798758817870532
100.0,0,478,0.232,0.2842408594573117
100.0,0,474,0.224,0.25644995633579376
100.0,0,178,0.446,0.26559075837312834
100.0,0,40,0.588,0.12091162454260078
100.0,0,470,0.336,0.18936490852158686
100.0,0,424,0.256,0.25007261686532
100.0,0,128,0.48,0.32965697870683175
100.0,0,420,0.244,0.2919924492367945
100.0,0,124,0.514,0.1620567805086226
100.0,0,48,0.816,0.2383223192898061
100.0,0,462,0.264,0.23717489666661018
100.0,0,166,0.452,0.14286835851232751
100.0,0,96,0.724,0.17548603117085051
100.0,0,116,0.468,0.29878858493385896
100.0,0,13,0.846,0.08726508082230398
100.0,0,91,0.67,0.2191866570032054
100.0,0,112,0.508,0.24550743107234133
100.0,0,158,0.432,0.27196476308159195
100.0,0,229,0.342,0.21847307938412747
100.0,0,450,0.252,0.2619856703401016
100.0,0,154,0.45,0.1855826721960946
